1,Giancarlo Stanton,519317,10616
2,Aaron Judge,592450,10734
3,J.D. Martinez,502110,10474
4,Khris Davis,501981,11187
5,Joey Gallo,608336,10998
6,Cody Bellinger,641355,12414
7,Nelson Cruz,443558,10879
8,Edwin Encarnacion,429665,11029
9,Logan Morrison,489149,11304
10,Mike Moustakas,519058,10530
11,Justin Smoak,475253,11077
12,Nolan Arenado,571448,10408
13,Charlie Blackmon,453568,10411
14,Marcell Ozuna,542303,10615
15,Jay Bruce,457803,10700
16,Paul Goldschmidt,502671,10202
17,Joey Votto,458015,10354
18,Ryan Zimmerman,475582,11051
19,Justin Upton,457708,10476
20,Brian Dozier,572821,11135
21,George Springer,543807,10506
22,Jose Abreu,547989,10437
23,Josh Donaldson,518626,11022
24,Francisco Lindor,596019,11103
25,Manny Machado,592518,10268
26,Gary Sanchez,596142,10726
27,Mike Trout,545361,10561
28,Anthony Rizzo,519203,10327
29,Jonathan Schoop,570731,10270
30,Adam Duvall,594807,10355
31,Travis Shaw,543768,10302
32,Eric Thames,519346,12422
33,Lucas Duda,446263,10695
34,Jake Lamb,571875,10205
35,Rougned Odor,596059,11144
36,Mark Reynolds,448602,11285
37,Scott Schebler,594988,10357
38,Steven Souza,519306,10972
39,Wil Myers,571976,10843
40,Domingo Santana,570267,10647
41,Kyle Schwarber,656941,10331
42,Kris Bryant,592178,10326
43,Bryce Harper,547180,11053
44,Mike Napoli,435063,11395
45,Jose Ramirez,608070,10225
46,Freddie Freeman,518692,10237
47,Andrew McCutchen,457705,11239
48,Kendrys Morales,434778,11315
49,Miguel Sano,593934,10675
50,Yonder Alonso,475174,10753
51,Yasiel Puig,624577,10591
52,Michael Conforto,624424,10701
53,Corey Dickerson,572816,10973
54,Todd Frazier,453943,10440
55,Scooter Gennett,571697,11243
56,Salvador Perez,521692,10524
57,Eddie Rosario,592696,10672
58,Josh Bell,605137,11234
59,Nicholas Castellanos,592206,10469
60,Matt Davidson,571602,10439
61,Chris Davis,448801,10265
62,Curtis Granderson,434158,10702
63,Adam Jones,430945,10272
64,Kyle Seager,572122,10874
65,Eugenio Suarez,553993,11251
66,Hunter Renfroe,592669,10853
67,Justin Bour,571506,10610
68,Paul DeJong,657557,12528
69,Didi Gregorius,544369,10730
70,Ryon Healy,592387,10755
71,Mike Zunino,572287,10871
72,Matt Joyce,459964,11297
73,Eric Hosmer,543333,10528
74,Anthony Rendon,543685,11049
75,Jose Altuve,514888,10495
76,Carlos Correa,621043,10497
77,Zack Cozart,446359,10351
78,Ian Happ,664023,12361
79,Trey Mancini,641820,10269
80,Matt Olson,621566,10763
81,Trevor Story,596115,10410
82,Mookie Betts,605141,10303
83,Maikel Franco,596748,10786
84,Javier Baez,595879,10325
85,Jose Bautista,430832,11025
86,Robinson Cano,429664,10872
87,Matt Carpenter,572761,10933
88,Marwin Gonzalez,503556,11163
89,Daniel Murphy,502517,11048
90,Tommy Pham,502054,10941
91,Albert Pujols,405395,10562
92,Hanley Ramirez,434670,10301
93,Carlos Santana,467793,11107
94,Mark Trumbo,444432,10275
95,Tim Beckham,542921,10962
96,Shin-Soo Choo,425783,11146
97,Yasmani Grandal,518735,11256
98,Tommy Joseph,571830,10787
99,Ian Kinsler,435079,10471
100,Mitch Moreland,519048,11339
101,Brandon Moss,461235,11294
102,Corey Seager,608369,10586
103,Luis Valbuena,472528,11389
104,Randal Grichuk,545341,10939
105,Willson Contreras,575929,10324
106,Eduardo Escobar,500871,11136
107,Brett Gardner,458731,11091
108,Chris Taylor,621035,10588
109,Justin Turner,457759,11258
110,Matt Adams,571431,10932
111,Elvis Andrus,462101,10997
112,Andrew Benintendi,643217,11064
113,Keon Broxton,542979,10644
114,Welington Castillo,456078,11272
115,Jedd Gyorko,576397,11229
116,Evan Longoria,446334,10966
117,Nomar Mazara,608577,11002
